Date	Today's Attacks	Total Attacks	Today's Deaths	Total Deaths
19-Aug-1854	1	1	1	1
20-Aug-1854	1	2	0	1
21-Aug-1854	1	3	2	3
22-Aug-1854	0	3	0	3
23-Aug-1854	1	4	0	3
24-Aug-1854	1	5	2	5
25-Aug-1854	0	5	0	5
26-Aug-1854	1	6	0	5
27-Aug-1854	1	7	1	6
28-Aug-1854	1	8	0	6
29-Aug-1854	1	9	1	7
30-Aug-1854	8	17	2	9
31-Aug-1854	56	73	3	12
1-Sep-1854	143	216	70	82
2-Sep-1854	116	332	127	209
3-Sep-1854	54	386	76	285
4-Sep-1854	46	432	71	356
5-Sep-1854	36	468	45	401
6-Sep-1854	20	488	37	438
7-Sep-1854	28	516	32	470
8-Sep-1854	12	528	30	500
9-Sep-1854	11	539	24	524
10-Sep-1854	5	544	18	542
11-Sep-1854	5	549	15	557
12-Sep-1854	1	550	6	563
13-Sep-1854	3	553	13	576
14-Sep-1854	0	553	6	582
15-Sep-1854	1	554	8	590
16-Sep-1854	4	558	6	596
17-Sep-1854	2	560	5	601
18-Sep-1854	3	563	2	603
19-Sep-1854	0	563	3	606
20-Sep-1854	0	563	0	606
21-Sep-1854	2	565	0	606
22-Sep-1854	1	566	2	608
23-Sep-1854	1	567	3	611
24-Sep-1854	1	568	0	611
25-Sep-1854	1	569	0	611
26-Sep-1854	1	570	2	613
27-Sep-1854	1	571	0	613
28-Sep-1854	0	571	2	615
29-Sep-1854	0	571	1	616
